id,first_name,last_name,hire_date,hourly_salary,title_id,manager_id,team_id,created_at,updated_at
1,John,Doe,2022-01-01,150.00,1,NULL,NULL,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
2,Jane,Smith,2023-03-15,120.00,2,1,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
3,David,Johnson,2021-09-10,130.00,2,1,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
4,Michael,Williams,2022-05-20,110.00,2,1,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
5,Robert,Brown,2022-02-14,130.00,2,1,4,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
6,Emily,Miller,2023-01-05,120.00,2,1,5,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
7,Daniel,Lee,2022-07-02,120.00,2,1,6,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
8,Olivia,Clark,2021-11-12,80.00,3,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
9,Matthew,Wilson,2022-04-25,80.00,3,3,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
10,Sophia,Lewis,2023-06-10,90.00,3,4,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
11,James,Taylor,2021-10-20,90.00,3,5,4,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
12,Ava,Hall,2023-04-08,90.00,3,6,5,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
13,Christopher,Harris,2022-03-03,100.00,4,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
14,Mia,Young,2022-09-18,100.00,4,3,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
15,Andrew,Martin,2022-11-30,110.00,4,4,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
16,Isabella,Stewart,2023-05-15,110.00,4,5,4,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
17,Joseph,Moore,2022-06-05,100.00,4,6,5,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
18,Charlotte,Turner,2022-12-25,90.00,4,7,6,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
19,Benjamin,Walker,2023-02-02,90.00,4,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
20,Liam,Adams,2022-08-01,90.00,4,3,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
21,Grace,Hill,2023-03-22,90.00,4,4,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
22,Henry,Campbell,2021-12-05,90.00,4,7,6,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
23,Victoria,Ross,2022-07-10,45.00,5,15,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
24,Alexander,Bell,2022-04-18,50.00,5,16,4,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
25,Lily,Collins,2023-01-12,50.00,5,6,5,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
26,Daniel,Richardson,2022-10-08,70.00,5,7,6,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
27,Sophia,Morris,2022-05-30,60.00,5,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
28,Jack,Morgan,2022-09-02,60.00,5,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
29,Emma,Peterson,2023-06-18,70.00,5,3,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
30,Matthew,Cooper,2022-11-22,45.00,5,3,2,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
31,Oliver,Turner,2022-07-15,50.00,5,2,1,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
32,Sophie,Allen,2023-04-05,55.00,5,15,3,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
33,William,Harris,2022-05-29,55.00,5,16,4,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
34,Abigail,Green,2022-09-12,65.00,5,6,5,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
35,Daniel,Murphy,2023-02-08,45.00,5,7,6,2023-07-10 14:06:30.027239,2023-07-10 14:06:30.027239
